,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
986,within an hour,100,65,t,t,t,Prospect-Lefferts Gardens,Private room in condo,Private room,8,1.0,1 private bath,1.0,1.0,140.0,1,60,1.0,4.79,4.86,4.96,4.93,4.56,4.78,f,0.0602739726027397,56
998,within an hour,100,78,f,t,t,Bedford-Stuyvesant,Private room in townhouse,Private room,3,1.5,1.5 shared baths,2.0,2.0,187.0,3,60,3.0,4.71,4.64,4.93,4.86,4.51,4.71,f,0.589041095890411,27
1044,within an hour,100,99,f,t,t,Prospect-Lefferts Gardens,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,2.0,172.0,1,360,1.0,4.39,4.08,4.8,4.74,4.37,4.29,t,0.0027397260273972,28
1068,within a few hours,86,81,t,t,t,Canarsie,Private room in home,Private room,2,2.0,2 baths,2.0,3.0,200.0,1,365,1.0,4.94,4.95,4.98,4.99,4.62,4.94,f,0.0328767123287671,41
1074,within an hour,100,85,t,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,1.0,1 private bath,2.0,1.0,135.0,5,365,5.0,4.71,4.69,4.93,4.88,4.49,4.73,f,0.0904109589041095,26
1183,within an hour,100,96,t,t,t,Clinton Hill,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,143.0,4,18,4.0,4.83,4.85,4.89,4.88,4.8,4.83,f,0.1698630136986301,22
1204,within an hour,100,100,f,t,t,East Flatbush,Private room in home,Private room,2,1.0,1 private bath,1.0,3.0,99.0,3,30,3.0,4.8,4.8,4.94,4.94,4.46,4.78,t,0.1808219178082191,28
1340,within an hour,100,100,t,t,t,Bedford-Stuyvesant,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,180.0,2,28,2.0,4.81,4.87,4.93,4.93,4.59,4.71,f,0.2164383561643835,32
1403,within a few hours,100,97,f,t,t,Sunset Park,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,113.0,2,27,2.0,4.64,4.26,4.89,4.91,4.8,4.71,f,0.2082191780821917,32
1465,within an hour,100,100,t,t,t,East Village,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,175.0,1,730,2.0,4.86,4.82,4.83,4.84,4.78,4.75,f,0.6301369863013698,50
1499,within an hour,100,99,f,t,f,Harlem,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,159.0,4,29,4.0,4.53,4.56,4.86,4.88,4.57,4.54,t,0.2684931506849315,22
